coefficient,value,model_domain,model_version
Rx_CE_LowAged_RXHCC130,0.719,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LTI_RXHCC15,10.251,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LTI_RXHCC44,0.148,RxHCC,R08_PDP_AND_MAPD
Rx_NE_Lo_NESRD_NOD_x_F67,0.709,RxHCC,R08_PDP_AND_MAPD
Rx_NE_Lo_ESRD_NOD_X_M55_59,1.956,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LTI_RXHCC317,0,RxHCC,R08_PDP_AND_MAPD
Rx_NE_NoLo_NESRD_NOD_X_M65,0.467,RxHCC,R08_PDP_AND_MAPD
Rx_NE_NoLo_ESRD_NOD_X_M45_54,1.181,RxHCC,R08_PDP_AND_MAPD
Rx_NE_Lo_NESRD_OD_X_M90_94,0.334,RxHCC,R08_PDP_AND_MAPD
Rx_NE_LTI_ESRD_OD_X_M80_84,2.349,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowAged_RXHCC17,6.212,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowNoAged_RXHCC16,15.781,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowNoAged_RXHCC133,0.167,RxHCC,R08_PDP_AND_MAPD
Rx_NE_NoLo_ESRD_NOD_x_F0_34,1.444,RxHCC,R08_PDP_AND_MAPD
Rx_NE_Lo_NESRD_NOD_X_M75_79,0.65,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowNoAged_RXHCC18,3.361,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowNoAged_RXHCC132,0.255,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LTI_M85_89,0.279,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LTI_NONAGED_RXHCC159,3.441,RxHCC,R08_PDP_AND_MAPD
Rx_NE_NoLo_NESRD_NOD_x_F0_34,1.444,RxHCC,R08_PDP_AND_MAPD
Rx_NE_Lo_ESRD_OD_X_M65,2.215,RxHCC,R08_PDP_AND_MAPD
Rx_NE_LTI_NESRD_OD_x_F67,2.338,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowAged_RXHCC183,1.163,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowNoAged_RXHCC98,57.852,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowNoAged_RXHCC111,0,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowNoAged_RXHCC80,0.361,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LTI_RXHCC225,1.39,RxHCC,R08_PDP_AND_MAPD
Rx_NE_NoLo_NESRD_OD_X_M85_89,0.708,RxHCC,R08_PDP_AND_MAPD
Rx_NE_LTI_NESRD_NOD_x_F66,2.791,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowAged_RXHCC396,0,RxHCC,R08_PDP_AND_MAPD
Rx_NE_LTI_NESRD_NOD_x_F75_79,1.609,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowAged_RXHCC66,0.481,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowAged_RXHCC159,5.266,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowAged_RXHCC161,0.601,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowAged_RXHCC314,0.518,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LTI_F65_69,1.448,RxHCC,R08_PDP_AND_MAPD
Rx_NE_NoLo_NESRD_NOD_X_M60_64,1.181,RxHCC,R08_PDP_AND_MAPD
Rx_NE_NoLo_NESRD_NOD_x_F70_74,0.498,RxHCC,R08_PDP_AND_MAPD
Rx_NE_LTI_ESRD_NOD_X_M85_89,2.349,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowAged_RXHCC55,0.721,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowNoAged_RXHCC311,0.137,RxHCC,R08_PDP_AND_MAPD
Rx_NE_LTI_NESRD_NOD_x_F95_GT,0.658,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowNoAged_RXHCC228,0.617,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowAged_RXHCC317,0.041,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowAged_F90_94,0.04,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowNoAged_RXHCC187,0.005,RxHCC,R08_PDP_AND_MAPD
Rx_NE_Lo_NESRD_NOD_x_F35_44,2.271,RxHCC,R08_PDP_AND_MAPD
Rx_NE_Lo_NESRD_OD_x_F69,1.01,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowAged_RXHCC132,0.07,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowNoAged_RXHCC56,0.77,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowNoAged_RXHCC111,0,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowNoAged_RXHCC314,0.727,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowNoAged_RXHCC355,3.501,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LTI_RXHCC41,0.304,RxHCC,R08_PDP_AND_MAPD
Rx_NE_NoLo_NESRD_OD_X_M66,0.961,RxHCC,R08_PDP_AND_MAPD
Rx_NE_NoLo_NESRD_OD_x_F67,1.143,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowNoAged_RXHCC148,0,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowAged_RXHCC96,0.812,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowAged_RXHCC160,3.448,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowNoAged_RXHCC153,2.46,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LTI_RXHCC148,0,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LTI_RXHCC168,0.286,RxHCC,R08_PDP_AND_MAPD
Rx_NE_NoLo_NESRD_OD_x_F66,1.143,RxHCC,R08_PDP_AND_MAPD
Rx_NE_NoLo_ESRD_NOD_x_F65,1.303,RxHCC,R08_PDP_AND_MAPD
Rx_NE_NoLo_ESRD_OD_x_F75_79,1.303,RxHCC,R08_PDP_AND_MAPD
Rx_NE_Lo_ESRD_NOD_x_F45_54,2.271,RxHCC,R08_PDP_AND_MAPD
Rx_NE_Lo_ESRD_NOD_x_F85_89,2.131,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowAged_RXHCC158,0.077,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowAged_RXHCC16,12.415,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowNoAged_RXHCC227,1.345,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LTI_RXHCC131,0.348,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LTI_RXHCC183,0.617,RxHCC,R08_PDP_AND_MAPD
Rx_NE_Lo_ESRD_NOD_x_F70_74,2.131,RxHCC,R08_PDP_AND_MAPD
Rx_NE_LTI_NESRD_OD_x_F68,2.338,RxHCC,R08_PDP_AND_MAPD
Rx_NE_LTI_ESRD_NOD_X_M95_GT,2.349,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowAged_RXHCC65,0.355,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowNoAged_RXHCC17,5.29,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowNoAged_RXHCC159,5.515,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowNoAged_RXHCC147,0.125,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowNoAged_RXHCC228,1.909,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LTI_RXHCC229,0.433,RxHCC,R08_PDP_AND_MAPD
Rx_NE_NoLo_ESRD_NOD_X_M75_79,1.547,RxHCC,R08_PDP_AND_MAPD
Rx_NE_NoLo_ESRD_OD_X_M70_74,1.547,RxHCC,R08_PDP_AND_MAPD
Rx_NE_LTI_NESRD_NOD_x_F80_84,1.054,RxHCC,R08_PDP_AND_MAPD
Rx_NE_LTI_ESRD_NOD_x_F80_84,2.538,RxHCC,R08_PDP_AND_MAPD
Rx_NE_LTI_ESRD_OD_X_M67,2.349,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowNoAged_RXHCC166,0.126,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowNoAged_RXHCC314,0.828,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LTI_RXHCC133,0.074,RxHCC,R08_PDP_AND_MAPD
Rx_NE_Lo_NESRD_NOD_x_F75_79,0.687,RxHCC,R08_PDP_AND_MAPD
Rx_NE_LTI_ESRD_NOD_X_M0_34,2.349,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowAged_RXHCC262,0.017,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowNoAged_RXHCC87,0.198,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowNoAged_RXHCC95,0.576,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowAged_RXHCC87,0.228,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LTI_F80_84,0.546,RxHCC,R08_PDP_AND_MAPD
Rx_NE_NoLo_ESRD_OD_x_F80_84,1.303,RxHCC,R08_PDP_AND_MAPD
Rx_NE_Lo_NESRD_NOD_X_M55_59,1.801,RxHCC,R08_PDP_AND_MAPD
Rx_NE_Lo_ESRD_OD_X_M95_GT,2.215,RxHCC,R08_PDP_AND_MAPD
Rx_NE_LTI_NESRD_OD_X_M65,2.365,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowNoAged_F0_34,0.217,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowNoAged_RXHCC44,0.294,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowNoAged_RXHCC159,9.29,RxHCC,R08_PDP_AND_MAPD
Rx_NE_NoLo_ESRD_NOD_X_M66,1.547,RxHCC,R08_PDP_AND_MAPD
Rx_NE_Lo_NESRD_NOD_x_F55_59,2.014,RxHCC,R08_PDP_AND_MAPD
Rx_NE_Lo_ESRD_OD_x_F66,2.131,RxHCC,R08_PDP_AND_MAPD
Rx_NE_LTI_NESRD_NOD_X_M80_84,1.046,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowAged_RXHCC82,0.979,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowAged_RXHCC111,0,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowNoAged_RXHCC99,0.619,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowNoAged_RXHCC100,0.157,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowAged_RXHCC47,0.033,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowAged_RXHCC84,0.248,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowAged_RXHCC158,0.028,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowNoAged_RXHCC67,2.321,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LTI_RXHCC132,0.161,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LTI_RXHCC154,0.171,RxHCC,R08_PDP_AND_MAPD
Rx_NE_Lo_NESRD_OD_X_M75_79,0.65,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowNoAged_RXHCC130,0.265,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowNoAged_RXHCC66,0.923,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowNoAged_RXHCC146,0.384,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowNoAged_RXHCC168,0.416,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LTI_RXHCC20,0.312,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LTI_RXHCC30,0.908,RxHCC,R08_PDP_AND_MAPD
Rx_NE_Lo_NESRD_NOD_X_M65,1.122,RxHCC,R08_PDP_AND_MAPD
Rx_NE_Lo_ESRD_NOD_x_F90_94,2.131,RxHCC,R08_PDP_AND_MAPD
Rx_NE_LTI_ESRD_NOD_X_M65,2.349,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowAged_RXHCC130,0.238,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowNoAged_F55_59,0.324,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LTI_RXHCC99,0.823,RxHCC,R08_PDP_AND_MAPD
Rx_NE_NoLo_ESRD_NOD_X_M67,1.547,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowAged_RXHCC15,6.212,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowAged_RXHCC100,0.301,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowNoAged_RXHCC163,0.473,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowAged_M65_69,0.308,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowAged_RXHCC95,0,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowNoAged_RXHCC262,0,RxHCC,R08_PDP_AND_MAPD
Rx_NE_LTI_NESRD_NOD_X_M66,2.365,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowAged_RXHCC42,2.104,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowAged_RXHCC155,0.087,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowAged_RXHCC225,4.674,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LTI_M0_34,2.494,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LTI_RXHCC314,0.33,RxHCC,R08_PDP_AND_MAPD
Rx_NE_Lo_ESRD_OD_X_M70_74,2.215,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowAged_RXHCC147,0.522,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowAged_RXHCC154,0.755,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LTI_M80_84,0.459,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LTI_RXHCC43,0.098,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LTI_RXHCC96,0.221,RxHCC,R08_PDP_AND_MAPD
Rx_NE_NoLo_ESRD_OD_X_M80_84,1.547,RxHCC,R08_PDP_AND_MAPD
Rx_NE_Lo_NESRD_OD_X_M80_84,0.589,RxHCC,R08_PDP_AND_MAPD
Rx_NE_LTI_NESRD_OD_X_M69,1.668,RxHCC,R08_PDP_AND_MAPD
Rx_NE_LTI_ESRD_NOD_x_F0_34,2.538,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowNoAged_RXHCC54,0.851,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowAged_RXHCC17,10.006,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowAged_RXHCC100,1.507,RxHCC,R08_PDP_AND_MAPD
Rx_NE_LTI_NESRD_OD_X_M67,1.67,RxHCC,R08_PDP_AND_MAPD
Rx_NE_LTI_NESRD_OD_x_F69,1.609,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowAged_RXHCC229,0.239,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowAged_M70_74,0.225,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowAged_M95_GT,0.029,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowAged_RXHCC31,0.329,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowNoAged_RXHCC155,0,RxHCC,R08_PDP_AND_MAPD
Rx_NE_NoLo_ESRD_NOD_x_F95_GT,1.303,RxHCC,R08_PDP_AND_MAPD
Rx_NE_Lo_NESRD_NOD_X_M66,0.762,RxHCC,R08_PDP_AND_MAPD
Rx_NE_LTI_NESRD_OD_x_F85_89,1.054,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowAged_RXHCC191,0.152,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowAged_RXHCC314,0.315,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowNoAged_RXHCC59,1.452,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LTI_RXHCC19,0.944,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LTI_RXHCC82,0.472,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LTI_RXHCC228,1.359,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LTI_RXHCC260,0,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LTI_RXHCC316,0.812,RxHCC,R08_PDP_AND_MAPD
Rx_NE_NoLo_ESRD_NOD_x_F55_59,1.26,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowAged_RXHCC30,0.499,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowAged_F90_94,0.045,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowAged_RXHCC186,0.195,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowNoAged_RXHCC17,9.133,RxHCC,R08_PDP_AND_MAPD
Rx_NE_NoLo_NESRD_NOD_X_M68,0.526,RxHCC,R08_PDP_AND_MAPD
Rx_NE_NoLo_ESRD_NOD_x_F85_89,1.303,RxHCC,R08_PDP_AND_MAPD
Rx_NE_NoLo_ESRD_OD_X_M67,1.547,RxHCC,R08_PDP_AND_MAPD
Rx_NE_Lo_NESRD_NOD_x_F0_34,2.271,RxHCC,R08_PDP_AND_MAPD
Rx_NE_Lo_NESRD_OD_X_M66,0.927,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowAged_RXHCC44,0.071,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowAged_RXHCC311,0.175,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowNoAged_RXHCC42,4.202,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowNoAged_M0_34,0.177,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowAged_RXHCC148,0.03,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LTI_RXHCC166,0.407,RxHCC,R08_PDP_AND_MAPD
Rx_NE_NoLo_NESRD_NOD_x_F45_54,1.26,RxHCC,R08_PDP_AND_MAPD
Rx_NE_NoLo_NESRD_OD_X_M95_GT,0.708,RxHCC,R08_PDP_AND_MAPD
Rx_NE_NoLo_ESRD_NOD_x_F68,1.303,RxHCC,R08_PDP_AND_MAPD
Rx_NE_NoLo_ESRD_OD_X_M75_79,1.547,RxHCC,R08_PDP_AND_MAPD
Rx_NE_Lo_ESRD_NOD_X_M45_54,1.839,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowNoAged_RXHCC41,14.007,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowNoAged_RXHCC193,0.019,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowNoAged_RXHCC183,6.326,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowNoAged_RXHCC191,0.313,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LTI_RXHCC18,0.944,RxHCC,R08_PDP_AND_MAPD
Rx_NE_NoLo_NESRD_OD_x_F68,1.028,RxHCC,R08_PDP_AND_MAPD
Rx_NE_NoLo_ESRD_NOD_x_F80_84,1.303,RxHCC,R08_PDP_AND_MAPD
Rx_NE_NoLo_ESRD_OD_X_M90_94,1.547,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowNoAged_RXHCC82,0.638,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowNoAged_RXHCC261,0,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowNoAged_RXHCC193,0,RxHCC,R08_PDP_AND_MAPD
Rx_NE_LTI_NESRD_NOD_x_F45_54,3.655,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LTI_RXHCC207,0,RxHCC,R08_PDP_AND_MAPD
Rx_NE_NoLo_NESRD_NOD_X_M95_GT,0.708,RxHCC,R08_PDP_AND_MAPD
Rx_NE_NoLo_ESRD_NOD_x_F66,1.303,RxHCC,R08_PDP_AND_MAPD
Rx_NE_Lo_NESRD_NOD_X_M0_34,1.839,RxHCC,R08_PDP_AND_MAPD
Rx_NE_Lo_NESRD_NOD_X_M70_74,0.65,RxHCC,R08_PDP_AND_MAPD
Rx_NE_Lo_ESRD_OD_x_F90_94,2.131,RxHCC,R08_PDP_AND_MAPD
Rx_NE_LTI_ESRD_NOD_x_F85_89,2.538,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowAged_RXHCC112,0,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowNoAged_RXHCC56,0.669,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowNoAged_RXHCC355,2.433,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowAged_M85_89,0.061,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowAged_RXHCC84,0.114,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowAged_RXHCC164,0.069,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowNoAged_RXHCC22,0.134,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowAged_RXHCC243,0.459,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowNoAged_RXHCC84,0.349,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowNoAged_RXHCC261,0,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LTI_RXHCC31,0.35,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LTI_RXHCC191,0.264,RxHCC,R08_PDP_AND_MAPD
Rx_NE_NoLo_ESRD_OD_X_M85_89,1.547,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowAged_RXHCC56,0.353,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowAged_RXHCC193,0.21,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowAged_M80_84,0.029,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowAged_RXHCC54,1.004,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowNoAged_M35_44,0.642,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowNoAged_RXHCC244,0,RxHCC,R08_PDP_AND_MAPD
Rx_NE_NoLo_NESRD_NOD_x_F35_44,1.444,RxHCC,R08_PDP_AND_MAPD
Rx_NE_NoLo_NESRD_NOD_x_F68,0.443,RxHCC,R08_PDP_AND_MAPD
Rx_NE_Lo_ESRD_NOD_x_F66,2.131,RxHCC,R08_PDP_AND_MAPD
Rx_NE_LTI_NESRD_NOD_X_M68,1.67,RxHCC,R08_PDP_AND_MAPD
Rx_NE_LTI_NESRD_OD_x_F90_94,0.658,RxHCC,R08_PDP_AND_MAPD
Rx_NE_LTI_ESRD_OD_x_F70_74,2.538,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowNoAged_RXHCC131,0.133,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowNoAged_RXHCC191,0.708,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowNoAged_RXHCC82,1.964,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowNoAged_RXHCC99,1.292,RxHCC,R08_PDP_AND_MAPD
Rx_NE_NoLo_NESRD_OD_X_M69,0.526,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowAged_M70_74,0.144,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowNoAged_RXHCC133,0.05,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowAged_RXHCC112,0,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowNoAged_F55_59,0.557,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowNoAged_RXHCC260,0,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LTI_M65_69,1.094,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LTI_RXHCC244,0.046,RxHCC,R08_PDP_AND_MAPD
Rx_NE_NoLo_ESRD_NOD_X_M70_74,1.547,RxHCC,R08_PDP_AND_MAPD
Rx_NE_Lo_ESRD_NOD_x_F80_84,2.131,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowNoAged_RXHCC183,4.044,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowNoAged_RXHCC215,0.236,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowAged_RXHCC20,1.023,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowAged_RXHCC22,0.281,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowAged_RXHCC263,0,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowNoAged_RXHCC184,0.38,RxHCC,R08_PDP_AND_MAPD
Rx_NE_Lo_ESRD_NOD_x_F0_34,2.271,RxHCC,R08_PDP_AND_MAPD
Rx_NE_Lo_ESRD_OD_x_F70_74,2.131,RxHCC,R08_PDP_AND_MAPD
Rx_NE_LTI_NESRD_OD_x_F66,2.791,RxHCC,R08_PDP_AND_MAPD
Rx_NE_LTI_ESRD_OD_X_M69,2.349,RxHCC,R08_PDP_AND_MAPD
Rx_NE_LTI_ESRD_OD_x_F67,2.538,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowAged_RXHCC316,0.168,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowNoAged_RXHCC30,0.539,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowAged_M85_89,0.029,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowNoAged_RXHCC83,1.964,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LTI_RXHCC84,0.127,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LTI_RXHCC161,0.607,RxHCC,R08_PDP_AND_MAPD
Rx_NE_NoLo_NESRD_OD_X_M67,0.526,RxHCC,R08_PDP_AND_MAPD
Rx_NE_NoLo_ESRD_NOD_X_M69,1.547,RxHCC,R08_PDP_AND_MAPD
Rx_NE_NoLo_ESRD_OD_x_F65,1.303,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowNoAged_RXHCC244,0,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowAged_RXHCC355,1.428,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowNoAged_RXHCC42,6.142,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LTI_NONAGED_RXHCC131,0.749,RxHCC,R08_PDP_AND_MAPD
Rx_NE_Lo_ESRD_OD_x_F65,2.131,RxHCC,R08_PDP_AND_MAPD
Rx_NE_LTI_NESRD_NOD_X_M65,2.365,RxHCC,R08_PDP_AND_MAPD
Rx_NE_LTI_ESRD_NOD_x_F75_79,2.538,RxHCC,R08_PDP_AND_MAPD
Rx_NE_LTI_ESRD_OD_X_M95_GT,2.349,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowAged_RXHCC207,0.165,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LTI_RXHCC187,0.077,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LTI_RXHCC395,2.413,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LTI_NONAGED_RXHCC132,0.358,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowAged_RXHCC18,1.926,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowAged_RXHCC44,0.153,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowAged_RXHCC82,1.81,RxHCC,R08_PDP_AND_MAPD
Rx_NE_NoLo_ESRD_NOD_x_F35_44,1.444,RxHCC,R08_PDP_AND_MAPD
Rx_NE_Lo_NESRD_OD_x_F68,1.01,RxHCC,R08_PDP_AND_MAPD
Rx_NE_Lo_ESRD_OD_x_F68,2.131,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowAged_RXHCC21,0.399,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowAged_RXHCC207,0.15,RxHCC,R08_PDP_AND_MAPD
Rx_CE_NoLowAged_RXHCC243,0.198,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowAged_RXHCC157,5.273,RxHCC,R08_PDP_AND_MAPD
Rx_CE_LowAged_RXHCC184,0.195,RxHCC,R08_PDP_AND_MAPD
