coefficient,value,model_domain,model_version
CPA_HCC192,0.173,CMS-HCC,C28
CPA_HCC263,1.106,CMS-HCC,C28
CPA_HCC463,0.673,CMS-HCC,C28
INS_HCC94,0.264,CMS-HCC,C28
NE_MCAID_ORIGDIS_NEM70_74,2.134,CMS-HCC,C28
SNPNE_MCAID_NORIGDIS_NEF69,1.285,CMS-HCC,C28
CPA_HF_CHR_LUNG_V28,0.099,CMS-HCC,C28
INS_HCC180,1.097,CMS-HCC,C28
INS_HCC222,0.262,CMS-HCC,C28
CPA_D1,0,CMS-HCC,C28
CPD_HCC398,0.206,CMS-HCC,C28
INS_HCC18,1.555,CMS-HCC,C28
SNPNE_MCAID_NORIGDIS_NEF68,1.267,CMS-HCC,C28
INS_DISABLED_ULCER_V28,0.929,CMS-HCC,C28
NE_MCAID_ORIGDIS_NEF85_89,2.09,CMS-HCC,C28
INS_HCC19,1.293,CMS-HCC,C28
NE_MCAID_NORIGDIS_NEM69,1.341,CMS-HCC,C28
NE_MCAID_ORIGDIS_NEM75_79,2.134,CMS-HCC,C28
SNPNE_MCAID_NORIGDIS_NEM70_74,1.666,CMS-HCC,C28
SNPNE_MCAID_ORIGDIS_NEM90_94,2.639,CMS-HCC,C28
CPA_HCC199,0.572,CMS-HCC,C28
CPD_M0_34,0.27,CMS-HCC,C28
CPD_HCC62,0.256,CMS-HCC,C28
INS_HCC196,0.286,CMS-HCC,C28
NE_NMCAID_NORIGDIS_NEM69,0.714,CMS-HCC,C28
NE_MCAID_NORIGDIS_NEM85_89,1.822,CMS-HCC,C28
NE_NMCAID_ORIGDIS_NEM66,1.311,CMS-HCC,C28
SNPNE_NMCAID_NORIGDIS_NEF65,0.93,CMS-HCC,C28
CPA_HCC387,1.963,CMS-HCC,C28
CPD_HCC202,0.537,CMS-HCC,C28
NE_NMCAID_ORIGDIS_NEM85_89,1.568,CMS-HCC,C28
SNPNE_MCAID_ORIGDIS_NEM70_74,2.259,CMS-HCC,C28
CPA_HCC114,2.182,CMS-HCC,C28
CPD_HCC191,0.963,CMS-HCC,C28
CPD_HCC197,0.165,CMS-HCC,C28
CPD_HF_CHR_LUNG_V28,0,CMS-HCC,C28
INS_HCC20,0.676,CMS-HCC,C28
INS_D9,0.081,CMS-HCC,C28
NE_MCAID_NORIGDIS_NEF95_GT,1.822,CMS-HCC,C28
NE_MCAID_ORIGDIS_NEM66,1.905,CMS-HCC,C28
INS_HCC238,0.211,CMS-HCC,C28
CPD_HCC77,2.897,CMS-HCC,C28
INS_HCC154,0.106,CMS-HCC,C28
INS_HCC190,1.226,CMS-HCC,C28
INS_HCC226,0.195,CMS-HCC,C28
SNPNE_NMCAID_NORIGDIS_NEF70_74,1.166,CMS-HCC,C28
SNPNE_MCAID_NORIGDIS_NEM55_59,2.056,CMS-HCC,C28
CPD_HCC399,0.206,CMS-HCC,C28
CPD_DIABETES_HF_V28,0,CMS-HCC,C28
INS_HCC107,0.414,CMS-HCC,C28
INS_HCC202,0.133,CMS-HCC,C28
NE_MCAID_NORIGDIS_NEM60_64,1.619,CMS-HCC,C28
SNPNE_NMCAID_NORIGDIS_NEF45_54,1.693,CMS-HCC,C28
SNPNE_MCAID_ORIGDIS_NEM65,2.08,CMS-HCC,C28
CPD_HCC125,0.224,CMS-HCC,C28
CPD_HCC152,0.243,CMS-HCC,C28
CPD_HCC254,0,CMS-HCC,C28
SNPNE_MCAID_NORIGDIS_NEF35_44,1.843,CMS-HCC,C28
CPA_HCC111,12.333,CMS-HCC,C28
CPA_HCC402,0.406,CMS-HCC,C28
CPD_HCC137,0.347,CMS-HCC,C28
CPD_HCC382,1.409,CMS-HCC,C28
CPD_HF_KIDNEY_V28,0.1,CMS-HCC,C28
INS_HCC64,0.458,CMS-HCC,C28
INS_HCC115,0.657,CMS-HCC,C28
SNPNE_NMCAID_NORIGDIS_NEM60_64,1.724,CMS-HCC,C28
CPD_HCC198,0.907,CMS-HCC,C28
INS_HCC280,0.292,CMS-HCC,C28
NE_NMCAID_NORIGDIS_NEF75_79,0.934,CMS-HCC,C28
NE_MCAID_NORIGDIS_NEM66,1.126,CMS-HCC,C28
NE_MCAID_NORIGDIS_NEM67,1.126,CMS-HCC,C28
SNPNE_NMCAID_NORIGDIS_NEM69,1.107,CMS-HCC,C28
SNPNE_MCAID_ORIGDIS_NEF66,1.993,CMS-HCC,C28
CPD_HCC64,0.142,CMS-HCC,C28
INS_HCC136,0.215,CMS-HCC,C28
INS_HCC139,0,CMS-HCC,C28
INS_HCC248,0.119,CMS-HCC,C28
INS_HCC405,0.256,CMS-HCC,C28
CPD_F35_44,0.368,CMS-HCC,C28
CPD_HCC68,0.142,CMS-HCC,C28
CPD_D1,0,CMS-HCC,C28
INS_HCC37,0.343,CMS-HCC,C28
SNPNE_MCAID_NORIGDIS_NEM67,1.414,CMS-HCC,C28
INS_M70_74,1.234,CMS-HCC,C28
NE_NMCAID_NORIGDIS_NEF35_44,1.115,CMS-HCC,C28
NE_MCAID_NORIGDIS_NEM45_54,1.586,CMS-HCC,C28
SNPNE_MCAID_NORIGDIS_NEM60_64,2.08,CMS-HCC,C28
SNPNE_MCAID_NORIGDIS_NEM69,1.517,CMS-HCC,C28
CPD_HCC276,1.311,CMS-HCC,C28
INS_M45_54,0.839,CMS-HCC,C28
